"filename", "language", "CSV", "Markdown", "JavaScript", "JSON", "graphql", "JavaScript JSX", "SCSS", "XML", "JSON with Comments", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\createComponents.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 94
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\loadModules.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\normalizePort.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\onError.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 29
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\onListening.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\prepare.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\startUp.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 80
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\broadcash.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\refreshable.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\watch.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 32
